fire_lag,climate_lag,fit_intercept,model_file,train_size,val_size,test_size,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
27,3,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_001.pkl,1553,364,487,2.5057564120229396,1.4829362524146812,-0.1654861558274308,2.50028588937816,0.8101903423248893,0.35930457179652286,3.0741745966274348,1.945054945054945,-0.08791208791208792,3.072917329728932,0.7700404269428963,0.2857142857142857
30,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_002.pkl,1550,364,487,2.4914045785848487,1.4806451612903226,-0.16580645161290322,2.4858811304640223,0.8126602314965303,0.3529032258064516,3.055799746042284,1.9258241758241759,-0.07967032967032966,3.0547609933483026,0.7727812241799141,0.29945054945054944
14,4,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_003.pkl,1566,364,487,2.5423614087236004,1.475095785440613,-0.14942528735632185,2.5379664332030734,0.803369487418523,0.36909323116219667,3.0422844221891063,1.9093406593406594,-0.09615384615384616,3.0407645327062616,0.774786685572854,0.28846153846153844
28,7,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_004.pkl,1552,364,487,2.4657446962766634,1.467783505154639,-0.16623711340206185,2.4601345754540023,0.8163216396141075,0.35051546391752575,3.0332407505091727,1.914835164835165,-0.09615384615384616,3.031716327168371,0.7761236598348139,0.29395604395604397
25,6,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_005.pkl,1555,364,487,2.4937220209327435,1.47524115755627,-0.1581993569131833,2.4886989535010344,0.8118080070590786,0.35434083601286176,3.0799778791841566,1.9423076923076923,-0.09615384615384616,3.0784765995754393,0.7691713936726224,0.28846153846153844
7,3,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_006.pkl,1573,364,487,2.556046892213423,1.4895104895104896,-0.16083916083916083,2.550981473773271,0.8006104022087904,0.35918626827717737,2.964533949622021,1.8763736263736264,-0.046703296703296704,2.964166044697662,0.7861509667995132,0.28846153846153844
14,7,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_007.pkl,1566,364,487,2.519654540573254,1.4814814814814814,-0.16602809706257982,2.5141785288274967,0.8068661770317087,0.3556832694763729,2.998167938760434,1.8956043956043955,-0.10989010989010989,2.996153392728638,0.7812710107433596,0.27472527472527475
24,4,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_008.pkl,1556,364,487,2.5234122244490127,1.4845758354755785,-0.15938303341902313,2.5183737417541634,0.8072176656934045,0.36182519280205655,3.0661211491229277,1.9285714285714286,-0.07692307692307693,3.0651560712850476,0.7712437037786603,0.28846153846153844
14,6,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_009.pkl,1566,364,487,2.5346890907402733,1.4885057471264367,-0.17305236270753513,2.5287747362070614,0.8045544766763248,0.3563218390804598,3.0196244581291674,1.8928571428571428,-0.057692307692307696,3.0190732792969768,0.7781291212277538,0.29120879120879123
7,4,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_010.pkl,1573,364,487,2.5548030131713375,1.4882390336935791,-0.1519389701207883,2.550280962064372,0.8008044175807776,0.36172917991099807,2.9566464519381146,1.8736263736263736,-0.06593406593406594,2.9559111862009053,0.7872873949221791,0.29120879120879123
17,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_011.pkl,1563,364,487,2.520929664302605,1.4849648112603966,-0.16442738323736406,2.5155615691138546,0.8069388187240687,0.3563659628918746,3.0968789677123874,1.9478021978021978,-0.10714285714285714,3.095024999708824,0.7666311425748986,0.29395604395604397
13,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_012.pkl,1567,364,487,2.530604000031942,1.486279514996809,-0.15890236119974474,2.5256101529299433,0.8050796967250662,0.35545628589661776,3.0291622894497046,1.901098901098901,-0.07142857142857142,3.0283200185924626,0.7767252982526959,0.2967032967032967
9,6,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_013.pkl,1571,364,487,2.5286392684541172,1.4761298535964353,-0.16104392106938256,2.523505776782524,0.8050505520693096,0.3590070019096117,3.012793235010175,1.901098901098901,-0.07142857142857142,3.011946386658759,0.7791318519242237,0.29395604395604397
18,5,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_014.pkl,1562,364,487,2.5125803826459685,1.4833546734955185,-0.15813060179257363,2.5075994281451894,0.8083378704585275,0.3578745198463508,3.084434512797486,1.9258241758241759,-0.09065934065934066,3.083101871117378,0.7685029065416424,0.3021978021978022
8,6,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_015.pkl,1572,364,487,2.531858081234304,1.4815521628498727,-0.15712468193384224,2.5269778744260187,0.8044707386539527,0.3568702290076336,3.0223526241349443,1.8983516483516483,-0.06318681318681318,3.0216920444106607,0.7777280289491658,0.2967032967032967
19,3,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_016.pkl,1561,364,487,2.5233058454127026,1.4830237027546445,-0.15566944266495836,2.5184994369890763,0.8068214647058722,0.3651505445227418,3.0661211491229277,1.9175824175824177,-0.09340659340659341,3.064698045388334,0.7712437037786603,0.2967032967032967
27,7,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_017.pkl,1553,364,487,2.46977869970146,1.4752092723760464,-0.16677398583386993,2.4641414860247206,0.8156017960048894,0.34835801674179007,3.0427359001795997,1.9230769230769231,-0.07142857142857142,3.041897387721261,0.774719836859756,0.2857142857142857
25,4,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_018.pkl,1555,364,487,2.5161855477311152,1.492604501607717,-0.16141479099678457,2.5110027829252592,0.8084022574453598,0.3562700964630225,3.0879951887453267,1.9532967032967032,-0.10714285714285714,3.086135883897135,0.7679681168368585,0.2774725274725275
8,4,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_019.pkl,1572,364,487,2.54438962721192,1.4840966921119594,-0.15076335877862596,2.539919090190355,0.8025303867501514,0.36005089058524176,3.011881234615431,1.901098901098901,-0.04395604395604396,3.011560465544118,0.7792655493504197,0.2967032967032967
9,4,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Regional_Level_Tuning/models/regional/trial_020.pkl,1571,364,487,2.5388139093285025,1.4742202418841501,-0.1514958625079567,2.5342898551355253,0.8034785356151148,0.3679185232336092,3.031428778572975,1.9093406593406594,-0.06318681318681318,3.030770177067165,0.7763910546872059,0.29395604395604397
